"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps181",4.11511809377722e-41,0.318345361334339,0.998,0.979,6.5722551075716e-37,"TA.G2","Rps18"
"Sox92",5.84381996080156e-41,0.445437451768961,0.505,0.21,9.33316485939617e-37,"TA.G2","Sox9"
"Mxd3",7.70885672447284e-41,0.31610316994909,0.224,0.057,1.23118150746556e-36,"TA.G2","Mxd3"
"Dnajc91",2.5864532224192e-40,0.43680729013641,0.551,0.246,4.1308244415257e-36,"TA.G2","Dnajc9"
"Knstrn",3.99034790997803e-40,0.468807169226813,0.444,0.179,6.37298464702591e-36,"TA.G2","Knstrn"
"Snrpd12",5.50477028463026e-40,0.410585284263487,0.92,0.62,8.79166862158298e-36,"TA.G2","Snrpd1"
"Cenpw1",8.21896683358424e-40,0.391230210900103,0.556,0.252,1.31265119299174e-35,"TA.G2","Cenpw"
"Vrk11",1.05464038328813e-39,0.346269015889559,0.439,0.173,1.68436615614947e-35,"TA.G2","Vrk1"
"Shcbp1",1.16802426698621e-39,0.276627127758738,0.241,0.065,1.86545155680368e-35,"TA.G2","Shcbp1"
"Rplp01",1.22777395507494e-39,0.314054186326387,1,0.982,1.96087778365019e-35,"TA.G2","Rplp0"
"Nxt11",1.36233116940043e-39,0.352210307444104,0.522,0.228,2.17577911064943e-35,"TA.G2","Nxt1"
"Dscc1",1.67170028900217e-39,0.272529631900848,0.2,0.046,2.66987253156537e-35,"TA.G2","Dscc1"
"Hmmr",1.91443645133641e-39,0.338918499851055,0.222,0.057,3.05754645642938e-35,"TA.G2","Hmmr"
"Rpl42",2.80815509009357e-39,0.307712222721943,0.998,0.973,4.48490449438845e-35,"TA.G2","Rpl4"
"Srsf31",6.87635948469454e-39,0.42130008692723,0.944,0.705,1.09822337330057e-34,"TA.G2","Srsf3"
"Nde1",8.29656736900132e-39,0.269160482090898,0.276,0.081,1.3250447745032e-34,"TA.G2","Nde1"
"Rps91",1.38646119599692e-38,0.289980822276775,0.998,0.981,2.21431717612669e-34,"TA.G2","Rps9"
"Lig11",1.59737216755128e-38,0.417382273661934,0.454,0.185,2.55116308879614e-34,"TA.G2","Lig1"
