"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RpL14.1",1.37465397756378e-24,-0.34355941739622,1,0.992,1.28104004169168e-20,"8","RpL14"
"RpL8.2",1.85034206306041e-24,-0.457284992090319,0.959,0.976,1.724333768566e-20,"8","RpL8"
"RpL3.2",2.4513191344982e-24,-0.455073875383424,0.959,0.975,2.28438430143887e-20,"8","RpL3"
"CG1902.3",3.43780607901103e-24,0.571430753472024,0.763,0.425,3.20369148503038e-20,"8","CG1902"
"Trx-2.6",1.15552622412581e-23,-0.957154848480218,0.698,0.834,1.07683488826284e-19,"8","Trx-2"
"RpL32.1",1.78360068229651e-23,-0.364139885005681,0.988,0.986,1.66213747583212e-19,"8","RpL32"
"RpL11.1",3.71835213485484e-23,-0.456971832470392,0.935,0.961,3.46513235447123e-19,"8","RpL11"
"RpL23.1",6.78698169251902e-23,-0.31789079332155,0.994,0.997,6.32478823925848e-19,"8","RpL23"
"RpS27A.1",7.18531305975118e-23,-0.349218590483526,1,0.992,6.69599324038213e-19,"8","RpS27A"
"RpL10.1",8.02523320718474e-23,-0.376411462504108,0.982,0.994,7.47871482577546e-19,"8","RpL10"
"RpL19.2",8.20380619825236e-23,-0.421839808724717,0.982,0.982,7.64512699615137e-19,"8","RpL19"
"Sodh-1.5",1.06320210598978e-22,0.566577117739078,0.692,0.34,9.90798042571875e-19,"8","Sodh-1"
"Bacc.5",1.1215139529994e-22,-0.59808086083817,0.953,0.975,1.04513885280014e-18,"8","Bacc"
"cpo.7",1.24551228828755e-22,-0.796741910280932,0.266,0.629,1.16069290145517e-18,"8","cpo"
"CycJ",2.03672082384689e-22,0.281175632228119,0.172,0.03,1.89802013574292e-18,"8","CycJ"
"RpL30.3",2.12188464331104e-22,-0.446812534080979,0.953,0.965,1.97738429910156e-18,"8","RpL30"
"cl.8",2.22382130683126e-22,0.558651824979122,0.899,0.64,2.07237907583605e-18,"8","cl"
"esg.7",2.61827025462651e-22,-1.08429574481755,0.059,0.444,2.43996605028644e-18,"8","esg"
"RpL28.1",4.16802481865947e-22,-0.311288769315029,0.994,0.994,3.88418232850876e-18,"8","RpL28"
"RpS20.2",6.99415001245647e-22,-0.283664851647453,1,0.994,6.51784839660819e-18,"8","RpS20"
"CG42389.3",8.42191984842504e-22,-0.47811060504223,0.964,0.975,7.8483871067473e-18,"8","CG42389"
"awd.3",9.60721306374476e-22,-0.446833764210302,0.959,0.978,8.95296185410374e-18,"8","awd"
"RpL35A.2",9.74293171019029e-22,-0.417027874448813,0.947,0.974,9.07943806072633e-18,"8","RpL35A"
"Tapdelta.3",1.31018238484944e-21,-0.608695943341711,0.651,0.867,1.2209589644412e-17,"8","Tapdelta"
"Atpalpha.5",2.15255108473677e-21,0.515661967113169,0.87,0.614,2.0059623558662e-17,"8","Atpalpha"
"RpS3A.2",3.44443651915201e-21,-0.333003805437143,1,0.995,3.20987039219776e-17,"8","RpS3A"
"Hsc70-3.4",7.09766836672309e-21,-0.725088991670072,0.751,0.905,6.61431715094925e-17,"8","Hsc70-3"
"Scp2.7",7.92403392431349e-21,-1.90689858029073,0.13,0.475,7.38440721406774e-17,"8","Scp2"
"RpS15.1",8.27774746151313e-21,-0.290400262015971,1,0.996,7.71403285938409e-17,"8","RpS15"
"CG7272.6",9.00384731635699e-21,-1.14862863867121,0.272,0.583,8.39068531411308e-17,"8","CG7272"
"CG31886",1.31482053572909e-20,0.321098724596867,0.254,0.065,1.22528125724594e-16,"8","CG31886"
"CG2970.1",1.51898237110408e-20,0.549544418214546,0.663,0.363,1.41553967163189e-16,"8","CG2970"
"heph",1.56524312625254e-20,0.442364118313522,0.959,0.878,1.45865006935474e-16,"8","heph"
"CG14160.3",1.88772015249109e-20,0.449355711187626,0.574,0.249,1.75916641010645e-16,"8","CG14160"
"dac.7",1.90579699325517e-20,0.400289706576301,0.426,0.153,1.77601221801449e-16,"8","dac"
"CG13086.5",2.18213513767939e-20,-0.459644423300705,0.917,0.941,2.03353173480342e-16,"8","CG13086"
"RpS25.1",2.56639297942919e-20,-0.276641100374254,1,0.997,2.39162161753006e-16,"8","RpS25"
"RpL18A.1",2.64207548270201e-20,-0.317069495604363,1,0.99,2.46215014233e-16,"8","RpL18A"
"RpL34b.1",3.36137930726345e-20,-0.374713349743713,0.953,0.981,3.13246937643881e-16,"8","RpL34b"
"CG32066.1",3.89418454408318e-20,0.521214960328592,0.722,0.426,3.62899057663111e-16,"8","CG32066"
"CG2852.5",4.57205970841179e-20,-0.551992607587475,0.858,0.926,4.26070244226895e-16,"8","CG2852"
"RpS5a.1",4.77747875421768e-20,-0.353957777099921,0.97,0.981,4.45213245105546e-16,"8","RpS5a"
"CG8036.4",6.77740955694307e-20,0.436915308997532,0.414,0.155,6.31586796611525e-16,"8","CG8036"
"RpL26.1",8.08934122758615e-20,-0.317647149797112,0.994,0.993,7.53845708998754e-16,"8","RpL26"
"RpL10Ab.2",8.37569226438805e-20,-0.362921534592696,0.982,0.986,7.80530762118323e-16,"8","RpL10Ab"
"RpS26.1",1.07151264072999e-19,-0.297605762452702,1,0.994,9.98542629896273e-16,"8","RpS26"
"CG7781.8",1.4388137102095e-19,-0.89746083219633,0.03,0.373,1.34083049654424e-15,"8","CG7781"
"Fer2LCH.4",2.01787796941925e-19,-0.441666901431739,0.964,0.989,1.8804604797018e-15,"8","Fer2LCH"
"Df31.5",2.44997686772551e-19,-0.603914663154615,0.663,0.835,2.2831334430334e-15,"8","Df31"
"CG42806",2.83995773163695e-19,0.324494297364947,0.231,0.059,2.64655661011247e-15,"8","CG42806"
"sty.4",3.43099881925918e-19,-0.741820605745644,0.071,0.417,3.19734779966763e-15,"8","sty"
"CG14509.6",3.53627695966619e-19,0.409007844828739,0.568,0.254,3.29545649871292e-15,"8","CG14509"
"Oda.4",5.11894499310964e-19,-0.407700751830967,0.959,0.974,4.77034483907887e-15,"8","Oda"
"NPF.8",9.72221617504794e-19,-2.87586453175148,0.976,0.984,9.06013325352718e-15,"8","NPF"
"lama.2",1.04947081296925e-18,0.441459161727821,0.438,0.174,9.78001850606045e-15,"8","lama"
"RpL24.1",1.09546428755399e-18,-0.337551551419691,0.982,0.99,1.02086316957156e-14,"8","RpL24"
"RpS24.1",1.1357296448368e-18,-0.335750658476418,0.982,0.986,1.05838645602341e-14,"8","RpS24"
"CG11842.8",1.22607160600061e-18,-0.979422692493971,0.065,0.395,1.14257612963197e-14,"8","CG11842"
"Mpc1.5",1.53275004628458e-18,0.459586498692059,0.615,0.308,1.4283697681326e-14,"8","Mpc1"
"CG17574.6",1.6335147047965e-18,-0.700917869646543,0.704,0.833,1.52227235339985e-14,"8","CG17574"
"RpL4.2",1.75377260910806e-18,-0.461433465097773,0.888,0.922,1.6343406944278e-14,"8","RpL4"
"RpS9.1",1.85227371463012e-18,-0.344306171526949,0.988,0.984,1.7261338746638e-14,"8","RpS9"
"CG15203.8",2.02056626524716e-18,0.519637909791402,0.426,0.162,1.88296570258383e-14,"8","CG15203"
"RpS17.1",2.17175321711063e-18,-0.359268781620592,0.964,0.988,2.0238568230254e-14,"8","RpS17"
"Rack1.2",2.19499956547247e-18,-0.422770086713019,0.905,0.946,2.04552009506379e-14,"8","Rack1"
"RpS10b.3",3.06716134940252e-18,-0.36147939977517,0.988,0.976,2.85828766150821e-14,"8","RpS10b"
"Orct",3.6148697566106e-18,0.329200130400583,0.225,0.059,3.36869712618542e-14,"8","Orct"
"RpL7A.2",3.71322623949169e-18,-0.34935471313308,0.982,0.982,3.46035553258231e-14,"8","RpL7A"
"Pal2.5",5.24386782091731e-18,-0.526100008183502,0.994,0.983,4.88676042231284e-14,"8","Pal2"
"RpS8.1",5.79265057339841e-18,-0.325273617117452,0.994,0.989,5.39817106934998e-14,"8","RpS8"
"CG2789.6",6.1970659339961e-18,-0.650326833317204,0.568,0.778,5.77504574389096e-14,"8","CG2789"
"CG34045.4",6.20801742371336e-18,0.411348650910776,0.456,0.187,5.78525143715848e-14,"8","CG34045"
"Mip.6",6.51825296687941e-18,-2.36970896645876,0.237,0.517,6.07435993983493e-14,"8","Mip"
"porin.4",7.19346127399828e-18,-0.438900716008022,0.929,0.967,6.70358656123899e-14,"8","porin"
"Cyp1.2",1.2197247017773e-17,-0.380222533328539,0.982,0.973,1.13666144958627e-13,"8","Cyp1"
"CG9629.6",1.30277584482748e-17,-1.3185289715523,0.03,0.349,1.21405680979473e-13,"8","CG9629"
"CG31689.7",1.7720491342344e-17,-0.960827399809437,0.059,0.378,1.65137258819304e-13,"8","CG31689"
"RpL18.2",2.36982093305636e-17,-0.357228290364854,0.982,0.985,2.20843612751522e-13,"8","RpL18"
"Cyp28d1.8",2.84172948706704e-17,0.505854577546525,0.621,0.32,2.64820770899777e-13,"8","Cyp28d1"
"RpL27.2",4.05117511211413e-17,-0.340174218325141,0.988,0.984,3.77529008697916e-13,"8","RpL27"
"Cyp9h1.6",4.56837968153927e-17,-1.04437255921424,0.041,0.352,4.25727302522645e-13,"8","Cyp9h1"
"Traf4.5",4.65537079104536e-17,-0.691987019387642,0.065,0.392,4.33834004017517e-13,"8","Traf4"
"CG12290.4",4.77681551980369e-17,0.361374457467276,0.331,0.116,4.45151438290506e-13,"8","CG12290"
"RpL6.1",5.11962284006758e-17,-0.317713342807015,0.982,0.988,4.77097652465898e-13,"8","RpL6"
"shep.1",6.00706405591814e-17,0.337304671502401,1,0.954,5.59798299371012e-13,"8","shep"
"gb.7",8.34968513709511e-17,-0.805146997438589,0.059,0.375,7.78107157925893e-13,"8","gb"
"sesB.3",1.54935447713342e-16,-0.496167308451959,0.876,0.955,1.44384343724064e-12,"8","sesB"
"CG42714.6",1.66846650618604e-16,-1.88138337382131,0.148,0.44,1.55484393711478e-12,"8","CG42714"
"RpL13.2",2.17112082452357e-16,-0.329896689750606,0.982,0.985,2.02326749637352e-12,"8","RpL13"
"RpS16.1",6.55664447382084e-16,-0.332118752327536,0.988,0.965,6.11013698515364e-12,"8","RpS16"
"Sdc.1",8.36931326190039e-16,0.510782749107011,0.645,0.373,7.79936302876498e-12,"8","Sdc"
"CCHa1.7",1.0352619930325e-15,-2.20465282111869,0.29,0.532,9.6476065130699e-12,"8","CCHa1"
"CG13704.8",1.3137972441285e-15,0.363868058826932,0.947,0.558,1.22432765180335e-11,"8","CG13704"
"GstE12.4",1.50848772821328e-15,-0.389958116140616,0.959,0.967,1.40575971392196e-11,"8","GstE12"
"Cyp9b2.6",1.65041908683028e-15,0.331913345327578,0.456,0.191,1.53802554701714e-11,"8","Cyp9b2"
"CG14971",2.40081864243035e-15,0.454061543632543,0.509,0.255,2.23732289288084e-11,"8","CG14971"
"Mec2.8",2.61400560770469e-15,0.341812442463715,0.491,0.219,2.43599182582e-11,"8","Mec2"
"CG31522.1",3.0977910406528e-15,0.421814315894202,0.621,0.338,2.88683147078434e-11,"8","CG31522"
"RpL36",4.9069508663029e-15,-0.261567033247079,1,0.994,4.57278751230767e-11,"8","RpL36"
"RpL17.1",4.97983990812456e-15,-0.356617604873207,0.941,0.967,4.64071281038128e-11,"8","RpL17"
"CG13707.2",5.62067837915252e-15,0.325353895872938,0.308,0.109,5.23791018153224e-11,"8","CG13707"
"CG44014.6",6.44071607012059e-15,0.277570689148931,0.846,0.522,6.00210330574538e-11,"8","CG44014"
"dnd.1",6.48327497069384e-15,0.290553051970595,0.243,0.075,6.04176394518959e-11,"8","dnd"
"CG5399.8",7.20892295756812e-15,-0.317678834493481,0.822,0.439,6.71799530415774e-11,"8","CG5399"
"GstD1.5",7.39623086903317e-15,-0.604722872480879,0.982,0.987,6.89254754685201e-11,"8","GstD1"
"14-3-3epsilon.1",8.18700399590861e-15,-0.292285202707345,0.976,0.986,7.62946902378723e-11,"8","14-3-3epsilon"
"Gad1",9.36143832917017e-15,0.263954252889673,0.16,0.038,8.72392437895368e-11,"8","Gad1"
"CG7920.5",1.14548754738048e-14,0.362833502282323,0.379,0.152,1.06747984540387e-10,"8","CG7920"
"Cpr.8",1.15852352783719e-14,-0.747445447425153,0.053,0.337,1.07962807559147e-10,"8","Cpr"
"Bsg.6",1.23473396220901e-14,0.351738294066977,0.976,0.848,1.15064857938257e-10,"8","Bsg"
"CG32683.5",1.24891375189696e-14,-0.777330511380007,0.024,0.3,1.16386272539277e-10,"8","CG32683"
"CCHa1-R.5",1.41373259328802e-14,0.391219790914996,0.556,0.29,1.3174574036851e-10,"8","CCHa1-R"
"CG12926.4",1.77452961555572e-14,0.448474647455365,0.888,0.714,1.65368414873638e-10,"8","CG12926"
"RhoGDI.3",1.95347692449389e-14,-0.586773247386214,0.337,0.58,1.82044514593586e-10,"8","RhoGDI"
"fabp.6",2.06839820126842e-14,-0.884592509023612,0.71,0.752,1.92754028376204e-10,"8","fabp"
"Fst.7",2.51191324554506e-14,-1.33044644498816,0.432,0.611,2.34085195352345e-10,"8","Fst"
"Mical.1",3.13244635372477e-14,0.342556081385519,0.367,0.149,2.91912675703611e-10,"8","Mical"
"tup.8",3.73729274396159e-14,0.339281975925666,0.639,0.33,3.48278310809781e-10,"8","tup"
"RpL21.2",4.76317262310881e-14,-0.280353487912837,0.976,0.988,4.4388005674751e-10,"8","RpL21"
"dpr6",5.64149740634628e-14,0.479529061142681,0.231,0.073,5.2573114329741e-10,"8","dpr6"
